Name,Postcode,geo_longitude,geo_latitude,,Tuesday,Tonight,,,,,
Revolution,BA1 2EB,-2.3615183,51.38501,,0:00,Closes tonight at 0:00am,,,,,
The Canary,BA1 1HE,-2.3618477,51.3826217,,0:00,Closes tonight at 0:00am,,,,,
St. James Wine Vault,BA1 2TW,-2.367554025,51.3882653,,0:00,Closes tonight at 0:00am,,,,,
Star Inn,BA1 5NA,-2.3599813,51.3871152,,0:00,Closes tonight at 0:00am,,,,,
The Salamander,BA1 2JL,-2.362078271,51.38343425,,0:00,Closes tonight at 0:00am,,,,,
The Porter,BA1 2QS,-2.3628356,51.3847244,,0:00,Closes tonight at 0:00am,,,,,
Belushiâ€™s,BA1 2JY,-2.3604584,51.3836937,,0:00,Closes tonight at 0:00am,,,,,
The Cork,BA1 1EB,-2.3623316,51.3806949,,0:00,Closes tonight at 0:00am,,,,,
The Boater,BA2 4BQ,-2.3570824,51.3831512,,0:00,Closes tonight at 0:00am,,,,,
The Slug And Lettuce,BA1 2EY,-2.3609377,51.3852571,,0:00,Closes tonight at 0:00am,,,,,
The Curfew Inn,BA1 5DG,-2.3571185,51.3900424,,0:00,Closes tonight at 0:00am,,,,,
Slug and Lettuce,BA1 2EE,-2.362056346,51.38517287,,0:00,Closes tonight at 0:00am,,,,,
Sub 13,BA1 2EE,-2.362056346,51.38517287,,0:00,Closes tonight at 0:00am,,,,,
club XL,BA1 5BG,-2.3592388,51.3874595,,0:00,Closes tonight at 0:00am,,,,,
St Christophers Inn,BA1 2JY,-2.3604584,51.3836937,,1:00,Closes tonight at 1:00am,,,,,
Back To Mine,BA1 5LS,-2.3604623,51.38531725,,2:00,Closes tonight at 2:00am,,,,,
Gascoyne Place,BA1 1EY,-2.361809,51.3824068,,2:00,Closes tonight at 2:00am,,,,,
Common Room,BA1 2QP,-2.361793362,51.38615989,01225 425550,2:00,Closes tonight at 2:00am,,,,,
The Second Bridge,BA1 1JQ,-2.3571527,51.3789327,01225 464449,2:00,Closes tonight at 2:00am,,,,,
Po Na Na,BA2 4AL,-2.3565983,51.3806683,,3:00,Closes tonight at 3:00am,,,,,
Moles,BA1 2EN,-2.3628356,51.3847244,,3:00,Closes tonight at 3:00am,,,,,
The Weir Lounge,BA2 6PA,-2.3525749,51.3871585,,4:00,Closes tonight at 4:00am,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,